team_name,player_name,ipl_team,base_price,buy_price
New Zealand,Brendon McCullum,Kolkata Knight Riders,"$400,000","$900,000"
India,Ravindra Jadeja,Chennai Super Kings,"$100,000","$2,000,000"
Sri Lanka,Muttiah Muralitharan,Royal Challengers Bangalore,"$200,000","$220,000"
Sri Lanka,Mahela Jayawardene,Delhi Daredevils,"$300,000","$1,400,000"
South Africa,Herschelle Gibbs,Mumbai Indians,"$50,000","$50,000"
Australia,Brad Hodge,Rajasthan Royals,"$200,000","$475,000"
India,Parthiv Patel,Deccan Chargers,"$200,000","$650,000"
Sri Lanka,Dinesh Chandimal,Rajasthan Royals,"$50,000","$50,000"
Jamaica,Andre Russell,Delhi Daredevils,"$50,000","$450,000"
Australia,Mitchell Johnson (cricketer),Mumbai Indians,"$300,000","$300,000"
India,R. P. Singh,Mumbai Indians,"$200,000","$600,000"
India,Vinay Kumar,Royal Challengers Bangalore,"$100,000","$1,000,000"
India,Sreesanth,Rajasthan Royals,"$400,000","$400,000"
India,Ramesh Powar,Kings XI Punjab,"$100,000","$160,000"
Australia,Brad Hogg,Rajasthan Royals,"$100,000","$180,000"
Trinidad and Tobago,Sunil Narine,Kolkata Knight Riders,"$50,000","$700,000"
South Africa,Robin Peterson,Mumbai Indians,"$100,000","$100,000"
Australia,Daniel Harris (cricketer),Deccan Chargers,"$50,000","$70,000"
Trinidad and Tobago,Kevon Cooper,Rajasthan Royals,"$50,000","$50,000"
Australia,James Faulkner (cricketer),Kings XI Punjab,"$100,000","$190,000"
England,Azhar Mahmood,Kings XI Punjab,"$100,000","$200,000"
Sri Lanka,Thisara Perera,Mumbai Indians,"$50,000","$650,000"
South Africa,Marchant de Lange,Kolkata Knight Riders,"$50,000","$50,000"
Trinidad and Tobago,Darren Bravo,Deccan Chargers,"$100,000","$100,000"
New Zealand,Doug Bracewell,Delhi Daredevils,"$50,000","$50,000"
